ITEM_NM,SUBITEM_NM,CTPRVN_NM,SIGNGU_NM,CLSSRM_NM,TROBL_TY_NM,OPER_TIME_CN,CLSSRM_INTRCN_CN,RCRIT_PD,OPER_PD
"검도",,경기,가평군,(대장체)가평군 검도 교실,지적장애,화 10:00~11:30,,20210401~20210730,20210501~20211130
"검도",,대전,대덕구,대덕구장애인종합복지관 검도교실,지적장애,화 (10:30~11:30),,20210406~20211026,20210406~20211026
"검도",,서울,강동구,2021 서울시 장애인어울림 검도교실(서울특별시장애인검도회),기타장애,매주 토 11:00-12:00,,20210201~20210331,20210501~20211030
"검도",,대전,동구,동구아름다운복지관 검도교실,지적장애,금 14:30~15:30,,20210402~20211105,20210402~20211105
"검도",,경기,가평군,(대장체)가평군 검도클럽,지적장애,금 10:00~11:30,,20210401~20210730,20210501~20211130
"검도",,서울,금천구,2021 금천구 지적장애인 검도교실(금천구장애인체육회),지적장애,매주 토 11:10-12:10,,20210201~20210430,20210401~20210930
"검도",,대전,동구,2021 대전광역시장애인검도협회 검도교실,지적장애,수 10:30~12:00,,20210407~20211117,20210407~20211117
"골볼",,광주,서구,(기금) 2021 시각장애인 골볼교실(시각스포츠연맹),시각장애,매 주 일 13:00~17:00,광주 시각장애인 골볼교실입니다.,20210329~20210402,20210411~20210905
"골볼",,경남,창원시마산합포구,경남시각장애인 골볼 생활체육교실,시각장애,월 14:00~16:00,,20210101~20211231,20210101~20211231
"골볼",,광주,서구,골볼교실개인(시각-남)-심광선지도자,시각장애,"매주 수,일(17:00~19:00)",,20210101~20210131,20210102~20211222
"골볼",,전남,여수시,2021 전남 여수시 장애인생활체육 골볼교실,시각장애,13:00~15:00,2021 전남 여수시 장애인생활체육 골볼교실,20210415~20211028,20210415~20211028
"골볼",,광주,서구,골볼교실개인(시각-여)-심광선지도자,시각장애,"매주 월,일(17:30~19:30)",,20210101~20210131,20210201~20211220
"기타",기타,전남,여수시,2021 전남 여수시 장애인생활체육 수중운동교실,지체장애,13:50~14:50,2021 전남 여수시 장애인생활체육 수중운동교실,20210301~20210330,20210407~20211117
"기타",기타,대구,달서구,2021년 신나고!건강하고!고고한궁교실(달구벌복지관),지적장애,"매주 수, 목 14:00~15:00",장애유형 차별하지 않습니다. 남녀 차별하지 않습니다. 건강한 마음가짐만 있으시면 언제든 참석가능합니다. 신나고! 건강한! 한궁교실입니다.,20210308~20210402,20210405~20211029
"기타",기타,대구,달서구,2021년 대구성인발달장애인무용생활체육교실(파릇무용단),지적장애,매주 목 10:00~12:00,성인발달장애인의 신체움직임을 통한 비만예방 및 자세교정에 큰 도움을 주고자 신체움직임을 통한 기초체력 향상 및 리듬감 향상을 목표로 무용(발레)교실을 운영하고자 한다.,20210204~20210228,20210506~20211028
"기타",뉴스포츠,대구,동구,2021년 대구동촌뉴스포츠발달장애인생활체육교실(동촌센터),지적장애,매주 금 13:00~15:00,참여성을 강조한 새로운 형식의 스포츠로 이용자들이 쉽게 즐길 수 있도록 기존 종목의 규칙을 단순하게 만들어 다양한 스포츠 활동을 하여 이용 장애인의 신체 기능 향상을 돕는다.,20210201~20210228,20210405~20210924
"기타",기타,대구,달서구,2021년 대구잽잽~원!투!복싱교실(보담센터),지적장애,"1,2,3주 화 10:00~12:00",어느 누구나 즐길 수 있고 참여할 수 있는 복싱교실을 통해 참여대상자의 신체적 및 심리적 건강을 도모하고자 함.,20210202~20210228,20210401~20211031
"기타",풋살,대구,달서구,2021년 대구나누리풋살생활체육교실,지적장애,수정,"풋살을 배우며 기초체력을 증진하고, 풋살의 경기규칙을 익힘",20210201~20210205,20210401~20211031
"기타",휠체어럭비,서울,광진구,2021 광진구 지체장애 럭비교실(서울특별시장애인럭비협회),지체장애,월 수 토14:00 ~ 17:00,,20210201~20210331,20210401~20210930
"기타",뉴스포츠,대구,동구,2021년 대구더불어뉴스포츠생활체육교실(더불어센터),지적장애,요일누락 10:00~11:00,생활체육활동을 통해 스트레스를 해소하고 활력소를 제공하여 장애인의 건강증진과 효율적으로 여가시간을 활용하고자 한다.,20210201~20210401,20210407~20211020
"기타",기타,대구,수성구,2021년 시니어한궁교실(대구장복),지체장애,0,대구장애인종합복지관 시니어한궁교실,20210201~20210228,20210401~20211030
"기타",기타,대구,수성구,2021년 이재심의 시니어생활체육교실,지체장애,매주 화,대구시장애인체육회 직접사업,20210101~20210201,20210401~20211031
"기타",요가,대구,북구,2021년 대구장애인요가생활체육교실놀면뭐하니(북구센터),지적장애,매주 수 13:30~14:30,"저희 요가 교실은 장애를 있으신 분들에게 요가교실을 통하여 기초체력 단련으로 균형성, 유연성, 지구력 향상과 심리적인 안정을 도모하고 자아존중감을 향상의 목표로 교실을 개설하게 되었습니다. ",20210322~20210326,00000000~00000000
"기타",기타,대구,달서구,2021년 대구시각장애인밸런스워킹생활체육교실(시각복지관),시각장애,매주 화 14:00~16:00," 내 몸에 딱 맞는 운동! 자세교정 효과가 빠르다! 쉽고 재밌고 안전하게! 유산소운동, 근력운동, 스트레칭운동, 균형운동, 점핑운동을 조합한 복합운동으로 만성질환 예방과 치유에 탁월합니다. 밸런스워킹PT는 기본동작 80가지와 1,000여가지의 프로그램으로 웰니스 시대에 딱 맞는 운동입니다.",20210113~20210126,20210406~20211012
"기타",기타,대구,달서구,2021년 대구시각여성장애인무용생활체육교실,시각장애,매주 목 10:00~12:00,발레를 통해 여성시각장애인들의 자세교정과 움직임에 대한 두려움을 극복하고자 함,20210205~20210228,20210506~20211028
"기타",기타,서울,성동구,2021 성동구 지적성인장애인 노르딕워킹교실(성동성모주간보호센터),지적장애,"매주 월, 화 10:00",성동구 성모주간보호센터에서 운영하는 지적성인장애인 걷기교실입니다,20210201~20210331,20210401~20210930
"기타",골프,서울,서초구,2021 서초구 발달장애인 버디버디 필드골프교실,지적장애,"월, 화 중 13:00 ~ 15:00",장애아이들이 필드 골프를 배우면서 자존감을 높이고 연습하며 사회적인 소통을 교육 일회성 교실사업이 아닌 생활체육에서 전문체육으로 가는 연계성을 확인시켜줌으로 꾸준한 참가 유도 참가자 7명 운영진 5명,20210201~20210331,20210401~20210930
"기타",뉴스포츠,서울,동작구,2021 동작구 발달장애인 뉴스포츠교실(시립발달장애인복지관),지적장애,매주 화 09:30-10:30,성인 발달장애인들이 쉽게 접할 수 있는 새로운 문화 스포츠 활동 제공 참가자 10명 운영진 2명 / 25회 운영목표,20210201~20210331,20210401~20210930
"기타",기타,서울,광진구,2021 광진구 지적장애인 라인댄스교실(부모연대 광진지회),지적장애,매주 목 17:30-19:30,(사)서울장애인부모연대 광진지회 주최  지적장애인 라인댄스교실  여러 사람이 줄을 지어 추는 댄스로 파트너 없이 협동심 함양,20210201~20210331,20210401~20210930
"기타",기타,서울,광진구,2021 광진구 지적장애청소년 심리운동/뉴스포츠 교실(부모연대 광진지회),지적장애,매주 화 16:00-18:00,발달장애인의 운동능력 및 감각 통합능력의 향상을 목적으로 하는 심리운동/ 뉴스포츠 교실,20210201~20210331,20210401~20210930
"기타",기타,서울,동작구,2021 동작구 여성발달장애인 체력측정증진교실(서울시립발달장애인복지관),지적장애,매주 월 15:00-16:00,,20210201~20210331,20210401~20210930
"기타",요가,서울,동작구,2021 동작구 지적장애 요가테라피교실(동작발달장애인평생교육센터),지적장애,매주 금 13:15-16:00,,20210201~20210331,20210401~20210930
"기타",기타,서울,동작구,2021 동작구 성인발달장애인 댄스교실(보라매주간보호센터),지적장애,매주 금 10:20-11:20,,20210201~20210331,20210401~20210930
"기타",요가,서울,서대문구,2021 서대문구 여성농아인어울림요가교실(여성농아인어울림센터),청각장애,매주 화 13:00-15:00,,20210201~20210331,20210401~20210731
"기타",기타,서울,서대문구,2021 서대문구 청각장애인 홈트레이닝교실(시립서대문농아인복지관),청각장애,매주 월 15:30-16:30,,20210201~20210430,20210501~20211030
"기타",헬스,서울,성동구,2021 성동구 지체장애인 헬스 교실(기능장애인협회 성동지회),지체장애,매주 화 10:00-12:00,,20210201~20210331,20210401~20210930
"기타",뉴스포츠,서울,성동구,2021 성동구 지적장애 뉴스포츠교실(성모보호작업장),지적장애,매주 금 14:00-16:00,,20210201~20210331,20210401~20210930
"기타",쇼다운,충북,보은군,2021 장애인생활체육 쇼다운교실,시각장애,매주 수13;00~14:30,,20210126~20210215,20210301~20210929
"기타",뉴스포츠,충북,음성군,2021 장애인생활체육 미니골프교실,지체장애,매주 월 13:00 ~ 15:00,,20210126~20210215,20210401~20211030
"기타",뉴스포츠,충북,보은군,2021 장애인생활체육 뉴 스포츠,청각장애,매주 월 13:00~15:00,,20210126~20210215,20210301~20210830
"기타",뉴스포츠,충북,보은군,2021 보은군장애인한궁교실,지체장애,매주 수 14:00~16:00,,20210126~20210215,20210301~20210930
"기타",뉴스포츠,충북,음성군,2021 음성군장애인복지관 생활체육 한궁교실,지체장애,매주 목 10:00 ~ 12:00,,20210126~20210215,20210401~20211030
"기타",요가,충북,충주시,2021 장애인생활체육 요가교실,뇌병변장애,매주 금 15:00~16:00,,20210126~20210215,20210302~20211031
"기타",생활체조,충북,영동군,2021 장애인생활체육 건강체조교실,지체장애,매주 화 10:30~12:00,,20210126~20210215,20210301~20211130
"기타",기타,충북,제천시,2021 이하의집 어울림워킹교실,지적장애,매주 수 09:40 ~ 11:10,,20210126~20210215,20210301~20211030
"기타",체조,충북,충주시,"2021 장애인생활체육 들썩들썩 건강 ON, 어울림체조교실",지적장애,매주 목 13:30~14:30,,20210126~20210215,20210302~20211031
"기타",요가,충북,단양군,2021 장애인생활체육 다래요가교실,지적장애,"매주 화, 목 14:00~15:00",,20210126~20210215,20210301~20211031
"기타",뉴스포츠,충북,옥천군,2021 어울림 한궁교실,지체장애,수 10:00~12:00,,20210126~20210215,20210301~20211030
"기타",요가,충북,단양군,2021 장애인생활체육 몸사랑요가교실,지적장애,매주 수 14:00~15:00,,20210126~20210215,20210301~20211031
"기타",스트레칭,충북,충주시,2021 장애인생활체육 스트레칭교실,지적장애,매주 수 10:30~11:30,,20210126~20210215,20210302~20211031
"기타",특수체육,충북,충주시,2021 장애인생활체육 재미짐 특수체육교실,지적장애,"매주 월,수 14:00~16:00",,20210126~20210215,20210302~20210930
"기타",기타,충북,청주시청원구,2021 장애인생활체육 너도나도 컬링교실,지체장애,"매주 화, 목 10:00~12:00",,20210126~20210215,20210301~20211031
"기타",뉴스포츠,충북,증평군,2021 장애인생활체육 뉴스포츠교실,지적장애,금 14:00~15:00,,20210126~20210215,20210401~20210930
"기타",뉴스포츠,부산,사하구,건강체육교실(사하구장복),지체장애,화/10:30~11:30,,2021.3.1~20211231,2020.3.1~20211231
"기타",기타,부산,남구,다함께무용교실,지적장애,토/10:30~12:00,,20210301~20211231,20210301~20211231
"기타",요가,부산,북구,신나는요가교실,지체장애,목/15:00~16:00,,20210301~20211231,20210301~20211231
"기타",뉴스포츠,부산,수영구,아동생활체육교실 &quot;쑥쑥&quot;,지적장애,화/16:00~17:30,,20210301~20211231,20210301~20211231
"기타",기타,부산,북구,시각장애인만보걷기교실,시각장애,목/14:00~16:00,,20210301~20211231,20210301~20211231
"기타",기타,부산,북구,시각장애인홈트레이닝교실,시각장애,월/10:30~12:00,,20210301~20211231,20210301~20211231
"기타",쇼다운,부산,동구,시각장애인쇼다운교실,시각장애,"월,수/13:00~15:00",,20210301~20211231,20210301~20211231
"기타",요가,부산,동구,여성장애인재활스포츠교실,지체장애,목/14:00~16:00,,20210301~20211231,20210301~20211231
"기타",뉴스포츠,부산,사하구,슬기로운센터콕생활체육교실,지적장애,금/10:00~12:00,,20210301~20211231,20210301~20211231
"기타",특수체육,부산,부산진구,튼튼매트체육교실,지적장애,금/10:00~12:00,,20210301~20211231,20210301~20211231
"기타",기타,부산,동래구,척수장애인한궁교실,지체장애,수/14:00~16:00,,20210301~20211231,20210301~20211231
"기타",뉴스포츠,부산,해운대구,장애청소년교실,지적장애,수/목/금/15:00~18:00,,20210301~20211231,20210301~20211231
"기타",뉴스포츠,부산,동래구,어울림생활체육교실(체육회),지적장애,월/목/금 14:00~18:00,,20210301~20211231,20210301~20211231
"기타",,경기,고양시,(고양시)생활체육교실,기타장애,09:00-18:00,"소외계층(맞춤형)교실 - 풋센발리볼교실, 건강다짐 태권도교실, 으라차차태권도교실, 실내조정교실, 배드민턴교실, 고양보호작업장 생활체육 요가교실, 콕놀이교실,  콕사랑교실, 활력건강교실, 상록수 배드민턴 생활체육교실",20210322~20210531,20210322~20211031
"기타",,경기,과천시,(과천시)생활체육교실,기타장애,09:00-20:00,"소외계층(맞춤형)교실 - 어울림FC게이트볼교실, 장애인탁구교실, 성인발달장애인체육교실(누리,마루), 농구교실 수중교실 - 장애인 수중운동교실",20210322~20210531,20210322~20211031
"기타",,경기,광명시,(광명시)생활체육교실,기타장애,09:00-18:00,"소외계층(맞춤형)교실 - 장애인좌식배구교실, 장애인태권도교실",20210322~20210531,20210322~20211031
"기타",기타,경기,광주시,(광주시)생활체육교실,기타장애,09:00-21:00,"소외계층(맞춤형)교실 - 농아노인 건강체조교실, 단기보호시설 볼링교실, 보치아 생활체육교실, 몸과 마음이 자라는 태권도교실, 너른고을 한마음회 트레킹교실, 은혜동산 댄스스포츠교실, 향림재활원 태권도 생활체육교실, 장애인 행복한 수영교실, 꿈나무 육상교실, GOGO농구단교실",20210322~20210531,20210322~20211031
"기타",,경기,구리시,(구리시)생활체육교실,기타장애,09:00-19:00,"소외계층(맞춤형)교실 - 수영교실, 당구교실, 파크골프교실, 볼링교실, 필드골프교실, 농구교실, 시각장애인 한궁교실",20210322~20210531,20210322~20211031
"기타",,경기,군포시,(군포시)생활체육교실,기타장애,09:00-18:00,"소외계층(맞춤형)교실 - 스매싱배드민턴교실, 장애인태권도교실, 나를 지키는 유도교실, 게이트볼교실, 오르다 트레킹교실, 통합장애인센터 생활체조교실 성인지적장애인 볼링교실, 송정보치아교실, 쇼다운생활체육교실, 펀펀볼링교실",20210322~20210531,20210322~20211031
"기타",,경기,김포시,(김포시)생활체육교실,기타장애,09:00-18:00,"소외계층(맞춤형)교실 - 농아인게이트볼교실, 쇼다운교실",20210322~20210531,20210322~20211031
"기타",,경기,남양주시,(남양주시)생활체육교실,기타장애,09:00-18:00,"소외계층(맞춤형)교실 - 복지관라인댄스교실, 시각자전거교실, 주말특수체육교실, 스피닝A교실, 스피닝B교실, 지역아동센터 어울림체육교실, 배드민턴교실 쇼다운교실, 슐런교실, 스트레칭교실, 댄스스포츠교실, 보치아교실, 파크골프교실, 골볼교실, 농아인 게이트볼교실, 시각볼링교실 수중교실 - 수중운동교실",20210322~20210531,20210322~20211031
"기타",뉴스포츠,광주,서구,아름어린이집뉴스포츠교실-한혜정지도자,지적장애,매주 수 14:00~15:00,,20201201~20210305,20210224~20211229
"기타",뉴스포츠,광주,광산구,광산중뉴스포츠교실-이규성지도자,지적장애,매주 금 10:00~11:30,광산중학교 뉴스포츠 교실입니다. 금요일 10:00~11:30 운영합니다.,20210101~20211231,20210407~20211231
"기타",,경기,동두천시,(동두천시)생활체육교실,기타장애,09:00-18:00,"소외계층(맞춤형)교실 - 여성배드민턴교실, 생활체육교실(줌바댄스), 생활체육교실(플레이어게인), 건강체조 및 한궁교실 행정복지센터교실 - 행정복지센터 생활체육교실(댄스스포츠)",20210322~20210531,20210322~20211031
"기타",,경기,부천시,(부천시)생활체육교실,기타장애,09:00-18:00,"소외계층(맞춤형)교실 - 시각장애인 우슈교실, 생활체육교실(다함께 운동하SO), 생활체육교실(뉴스포츠), 생활체육 배드민턴교실, 장애인 당구교실 행정복지센터교실 - 부천시 보건소 장애인 수영재활교실",20210322~20210531,20210322~20211031
"기타",,경기,성남시,(성남시)생활체육교실,기타장애,09:00-20:00,"소외계층(맞춤형)교실 - 특수체육프로그램 내 몸을 부탁해, 두드림 골프 생활체육교실, 두드림 태권도 생활체육교실, 판교생활체육교실, 힐링요가교실,  신나는 장애인 뉴스포츠 생활체육교실, 서호 into 슐런, 늘찬체육교실, 장애인 한궁교실, 청소년수련관 방과후아카데미 생활체육교실,  TOP뉴스포츠교실, 농구교실, 락볼링교실, 성장체조 생활체육교실, 탁구교실, 드림스케이트교실, 장애인 조정교실 행정복지센터교실 - 분당동/정자2동 주민센터교실, 중앙동/은행1동 주민센터교실, 은행2동 주민센터교실  수중교실 - 중증장애아동 수중운동교실, 두드림 수영 생활체육교실",20210322~20210531,20210322~20211031
"기타",,경기,수원시,(수원시)생활체육교실,기타장애,09:00-18:00,"소외계층(맞춤형)교실 - 뉴스포츠 탁구교실, 장애인 빙상교실, 수원시장애인복지관 틱톡 탁구교실",20210322~20210531,20210322~20211031
"기타",,경기,시흥시,(시흥시)생활체육교실,기타장애,09:00-19:00,"소외계층(맞춤형)교실 - 하나더하기 FC풋살교실, 희망의 버저비터 농구교실, 슐런교실",20210322~20210531,20210322~20211031
"기타",,경기,안산시,(안산시)생활체육교실,기타장애,09:00-19:00,"소외계층(맞춤형)교실 - 배드민턴교실(콕콕콕), 꿈꾸는느림보 소외계층 생활체육교실, 소외계층 태권도교실, 해밀생활체육교실, 상록장애인복지관 소외계층 체육교실, 소외계층 트레킹교실 수중교실 - 수중운동교실",20210322~20210531,20210322~20211031
"기타",,경기,안성시,(안성시)생활체육교실,기타장애,09:00-20:00,"소외계층(맞춤형)교실 - 장애인 배드민턴교실, 태권도 소외계층교실",20210322~20210531,20210322~20211031
"기타",,경기,안양시,(안양시)생활체육교실,기타장애,09:00-19:00,"소외계층(맞춤형)교실 - 발달장애인 방송댄스교실, 제2보호작업장 요가교실, 발달장애인댄스스포츠교실, 좋은마음 생활체육교실, 재활필라테스교실, 론볼교실 학령기발달장애인 특수체육교실, 보치아 생활체육교실, 다누리 슐런교실",20210322~20210531,20210322~20211031
"기타",,경기,양주시,(양주시)생활체육교실,기타장애,09:00-18:00,"소외계층(맞춤형)교실 - 시각게이트볼교실, 장애인배드민턴교실, 나루터공동체 뉴스포츠교실, 소외계층배드민턴교실(폴라리스), 행복한주간보호센터체육교실 장애인 댄스교실, 어울림 실내조정교실, 실로암효명의집체육교실, 주간보호시설 스포츠교실 행정복지센터교실 - 양주2동 장애인 파크골프교실 수중교실 - 힐링수영교실",20210322~20210531,20210322~20211031
"기타",,경기,양평군,(양평군)생활체육교실,기타장애,09:00-18:00,"소외계층(맞춤형)교실 - 뉴스포츠교실, 파크골프교실",20210322~20210531,20210322~20211031
"기타",,경기,여주시,(여주시)생활체육교실,기타장애,09:00-18:00,"소외계층(맞춤형)교실 - 소외계층 탁구교실, 장애인 게이트볼교실",20210322~20210531,20210322~20211031
"기타",뉴스포츠,광주,서구,서구주간보호쉼터뉴스포츠교실-정수빈지도자,지적장애,매주 화 10:30~11:30,,20201214~20201218,20210112~20211228
"기타",,경기,연천군,(연천군)생활체육교실,기타장애,09:00-18:00,"소외계층(맞춤형)교실 - 소외계층 생활체육교실, 태권도 생활체육교실, 탁구 생활체육교실, 배드민턴 생활체육교실",20210322~20210531,20210322~20211031
"기타",,경기,오산시,(오산시)생활체육교실,기타장애,09:00-18:00,"소외계층(맞춤형)교실 - 생활체조교실, 슐런교실, 탁구교실, 수영교실, 국학기공교실, 배드민턴교실",20210322~20210531,20210322~20211031
"기타",,경기,용인시,(용인시)생활체육교실,기타장애,09:00-18:00,"소외계층(맞춤형)교실 - 아이비전 통합농구교실, 장애인 컬링교실, 장애인 배드민턴교실, 성인장애인 줌바피트니스교실, 농아인 게이트볼교실, 장애청소년 농구교실 태권도 튼튼교실 수중교실 - 아이비전 통합 수영교실",20210322~20210531,20210322~20211031
"기타",뉴스포츠,광주,서구,금부어린이집뉴스포츠교실-정수빈지도자,지적장애,매주 화 14:00~15:00,,20210215~20210218,20210324~20211229
"기타",,경기,의왕시,(의왕시)생활체육교실,기타장애,09:00-18:00,"소외계층(맞춤형)교실 - 소외계층 배드민턴교실, 소외계층 보치아교실, 장애인 언택트교실, 장애인 청소년 농구교실, 장애인 댄스스포츠교실, 장애인 특수체육교실 수중교실 - 장애인 수중 수영교실",20210322~20210531,20210322~20211031
"기타",뉴스포츠,광주,서구,화개초등학교뉴스포츠교실-정수빈지도자,지적장애,매주 수 10:20~11:20,,20210215~20210218,20210324~20211229
"기타",뉴스포츠,광주,서구,빛날주간보호센터뉴스포츠교실-한혜정지도자,지적장애,매주 목 09:30~10:30,,20201201~20210228,20210107~20211230
"기타",,경기,의정부시,(의정부시)생활체육교실,기타장애,09:00-18:00,"소외계층(맞춤형)교실 - 세상을 향한 스트라이크, 소외계층 생활체육교실, 곰두리네집 생활체육교실, 하울림 유도교실, 꿈이있는땅 생활체육교실, 성인장애인 체육교실",20210322~20210531,20210322~20211031
"기타",뉴스포츠,광주,서구,서구장애인복지관A뉴스포츠교실-정수빈지도자,지적장애,매주 수 13:30~14:30,,20201214~20201218,20210217~20211229
"기타",뉴스포츠,광주,서구,서구장애인복지관B뉴스포츠교실-정수빈지도자,지적장애,매주 수 14:30~15:30,,20201214~20201218,20210217~20211229
"기타",,경기,이천시,(이천시)생활체육교실,기타장애,09:00-18:00,"소외계층(맞춤형)교실 - 볼링생활체육교실, 보치아교실",20210322~20210531,20210322~20211031
"기타",뉴스포츠,광주,서구,금호초등학교뉴스포츠교실-정수빈지도자,지적장애,매주 목 09:10~10:10,,20210215~20210218,20210325~20211230
"기타",,경기,파주시,(파주시)생활체육교실,기타장애,09:00-19:00,"소외계층(맞춤형)교실 - 건강한탁구 생활체육교실, 봉일천고등학교 특수체육교실, 프로보노 생활체육교실, 경기미래교육 뉴스포츠교실, 지산고등학교 특수체육교실 라인댄스교실, 장애인 생활체육 태권도교실, 쇼다운교실",20210322~20210531,20210322~20211031
"기타",뉴스포츠,광주,서구,광주중학교뉴스포츠교실-정수빈지도자,지적장애,매주 금 09:55~10:55,,20210215~20210218,20210319~20211224
"기타",,경기,평택시,(평택시)생활체육교실,기타장애,09:00-21:00,"소외계층(맞춤형)교실 - 시각장애인 등산교실, 한마음 탁구교실, 에바다 축구교실, 발달장애인 생활체육교실, 슐런생활체육교실, 파워싸커 생활체육교실 동방드림 농구교실",20210322~20210531,20210322~20211031
"기타",요가,광주,서구,서구주간보호센터요가교실-정수빈지도자,지적장애,매주 금 14:00~15:00,,20201214~20201218,20210219~20211224
"기타",,경기,포천시,(포천시)생활체육교실,기타장애,09:00-18:00,소외계층(맞춤형)교실 - 탁구생활체육교실,20210322~20210531,20210322~20211031
"기타",,경기,하남시,(하남시)생활체육교실,기타장애,09:00-18:00,"소외계층(맞춤형)교실 - 라이징 보치아교실, 장애인 태권도교실, 장애인 탁구교실",20210322~20210531,20210322~20211031
"기타",,경기,화성시,(화성시)생활체육교실,기타장애,09:00-18:00,"소외계층(맞춤형)교실 - 드림스포츠교실, 아르딤장애인주간보호센터 생활체육교실, 웰빙요가교실",20210322~20210531,20210322~20211031
"기타",골프,세종,,농아인 골프교실,청각장애,매주 화 오후 2시,,20210122~20210205,20210406~20210914
"기타",뉴스포츠,광주,서구,금부초뉴스포츠교실-한혜정지도자,지적장애,매주 월 10:20~11:50,,20210101~20210228,20210104~20211227
"기타",뉴스포츠,광주,서구,차오름주간보호센터뉴스포츠교실-한혜정지도자,지적장애,매주 월 13:30~14:30,,20201201~20210228,20210104~20211227
"기타",요가,광주,서구,차오름주간보호센터요가교실-한혜정지도자,지적장애,매주 월 14:30~15:30,,20201201~20210228,20210315~20211227
"기타",스트레칭,광주,서구,희망의집주간보호센터스트레칭교실-한혜정지도자,뇌병변장애,매주 화 14:00~15:00,,20201201~20210228,20210105~20211228
"기타",요가,광주,서구,빛날주간보호센터요가교실-한혜정지도자,지적장애,매주 목 10:30~11:30,,20201201~20210228,20210107~20211230
"기타",뉴스포츠,광주,서구,풍암고뉴스포츠교실-한혜정지도자,지적장애,매주 금 10:30~11:30,,20201201~20210228,20210319~20211231
"기타",뉴스포츠,광주,서구,광림초등학교뉴스포츠교실-박은경지도자,지적장애,매주 월 10:00~11:00,,20210201~20210321,20210322~20211227
"기타",생활체조,광주,서구,나래주간보호센터생활체조교실-박은경지도자,지적장애,매주 월 14:00~15:00,,20210201~20210314,20210315~20211227
"기타",기타,광주,서구,풍암중학교점핑체조교실-박은경지도자,지적장애,매주 화 09:30~10:30,,20210201~20210321,20210323~20211228
"기타",골프,세종,,장애인 생활체육 골프교실,기타장애,매주 월 오전 10시,세종신체장애인복지회 에서 운영하는 장애인 생활체육 골프 교실 입니다,20210122~20210205,20210322~20210913
"기타",요가,광주,서구,영광원짐볼요가교실-박은경지도자,시각장애,매주 화 16:00~17:00,,20210201~20210331,20210302~20211228
"기타",요가,광주,서구,영광원짐볼요가2교실-박은경지도자,시각장애,매주 화 17:00~18:00,,20210201~20210228,20210302~20211228
"기타",생활체조,광주,서구,대자중학교생활체조교실-박은경지도자,지적장애,매주 수 10:00~11:00,,20210302~20210331,20210407~20211229
"기타",기타,광주,서구,미스행복방송댄스교실-박은경지도자,지적장애,매주 수 14:00~15:00,,20210201~20210228,20210303~20211229
"기타",뉴스포츠,광주,서구,화정중학교뉴스포츠교실-박은경지도자,지적장애,매주 목 10:00~11:00,,20210302~20210317,20210318~20211230
"기타",생활체조,광주,서구,서구장애인복지관생활체조교실-박은경지도자,지적장애,매주 목 13:30~14:30,,20210201~20210228,20210304~20211230
"기타",요가,광주,서구,서구장애인복지관요가교실-박은경지도자,지적장애,매주 목 14:30~15:30,,20210201~20210228,20210304~20211230
"기타",생활체조,광주,서구,나래주간보호센터생활체조교실-박은경지도자,지적장애,매주 금 14:00~15:00,,20210201~20210228,20210305~20211224
"기타",생활체조,광주,서구,화평이네생활체조교실-박은경지도자,지적장애,매주 금 17:00~18:00,,20210302~20210331,20210402~20211231
"기타",뉴스포츠,광주,광산구,어룡초등학교뉴스포츠교실-신동민지도자,지적장애,매주 목 09:00~10:30,어룡초등학교 생활체육 뉴스포츠 교실,20210201~20210302,20210325~20211230
"기타",뉴스포츠,광주,북구,지산중학교뉴스포츠교실-박소리지도자,지적장애,매주 수 10:00~11:30,지산중학교뉴스포츠교실,20210303~20210310,20210317~20211229
"기타",뉴스포츠,광주,동구,전남여자고등학교뉴스포츠교실-박소리지도자,지적장애,매주 목 10:00~11:30,전남여자고등학교뉴스포츠교실,20210302~20210305,20210311~20211230
"기타",뉴스포츠,광주,남구,월산초등학교뉴스포츠교실-이수련지도자,지적장애,매주 월  9:40~10:40,,20210215~20210218,20210405~20211227
"기타",뉴스포츠,광주,남구,행촌장애인평생교육원뉴스포츠교실(A반)-이수련지도자,지적장애,매주 월  13:20~14:20,,20210102~20210130,20210308~20211227
"기타",뉴스포츠,광주,남구,방림초등학교뉴스포츠교실-문아현,지적장애,매주 월 10:40~12:10,,20210201~20210228,20210322~20211227
"기타",뉴스포츠,광주,남구,발달장애인보호작업장체력증진교실-이수련지도자,지적장애,매주 월  15:00~16:00,,20210102~20210130,20210222~20211227
"기타",뉴스포츠,광주,남구,마루한주간보호센터뉴스포츠교실(1부)-박욱지도자,지적장애,매주 월 10:30~11:30,,20210102~20210130,20210216~20211228
"기타",생활체조,광주,남구,남구장애인복지관생활체조교실-문아현지도자,지적장애,매주 월 14:00~15:00,,20210102~20210131,20210222~20211227
"기타",짐볼,광주,남구,시각장애인복지관짐볼드럼교실-문아현지도자,시각장애,매주 화 10:00~11:00,,20210102~20210131,20210216~20210228
"기타",뉴스포츠,광주,남구,마루한주간보호센터뉴스포츠교실(2부)-박욱지도자,지적장애,매주 화 13:30~14:30,,20210102~20210130,20210216~20211228
"기타",짐볼,광주,남구,이팝너머짐볼드럼교실-문아현지도자,지적장애,매주 화 14:00~15:00,,20210102~20210131,20210309~20211228
"기타",뉴스포츠,광주,남구,일터선한마루뉴스포츠교실-박욱지도자,지적장애,매주 수 13:30~14:30,,20210102~20210130,20210224~20211229
