ITEM_NM,SUBITEM_NM,CTPRVN_NM,SIGNGU_NM,CLSSRM_NM,TROBL_TY_NM,OPER_TIME_CN,CLSSRM_INTRCN_CN,RCRIT_PD,OPER_PD
"볼링",,경기,군포시,(군포시)성인지적장애인볼링교실,지적장애,금 14:00~16:00,,20210201~20210331,20210401~20211031
"볼링",,강원,화천군,강원도 화천군 장애인 볼링교실,지적장애,화 14:00 ~ 16:00,,20210201~20211231,20210401~20211031
"볼링",,강원,태백시,강원도 태백시 시각장애인 볼링교실,시각장애,월 13:30 ~ 15:30,,20210201~20211231,20210412~20211027
"볼링",,경기,가평군,(대장체)가평군 볼링클럽,청각장애,토 11:30~13:30,,20210401~20210730,20210501~20211130
"볼링",,충북,음성군,2021 다올찬볼링교실,지체장애,매주 토 14:00 ~ 16:00,,20210126~20210215,20210306~20211030
"볼링",,충남,공주시,민들레 볼링교실,지적장애,매주 화 14:00~16:00,,20210301~20211130,20210301~20211130
"볼링",,경남,창원시진해구,경남장애인볼링생활체육교실,지적장애,목 15:00~17:00,,20210101~20211231,20210101~20211231
"볼링",,전남,영광군,2021 전남 영광군 장애인생활체육 볼링교실(기금),청각장애,13:30~14:30,2021 전남 영광군 장애인생활체육 볼링교실(기금),20210407~20211013,20210407~20211013
"볼링",,대전,서구,new볼링교실(모두사랑),지적장애,목 15:00~18:00,,20210408~20211118,20210408~20211118
"볼링",,충북,청주시,2021 장애인생활체육 청주정신건강센터 볼링교실,기타장애,매주 수 13:30~15:30,,20210215~20210310,20210401~20211031
"볼링",,충북,청주시,2021 장애인생활체육 볼링교실,지적장애,매주 토 10:00~12:00,,20210215~20210310,20210401~20210930
"볼링",,강원,횡성군,강원도 횡성군 장애인 볼링 교실,청각장애,목 10:00 ~ 12:00,,20210201~20211231,20210406~20211026
"볼링",,경북,영천시,2021년 함께하는 볼링교실(유형별-영천시장애인종합복지관),기타장애,"금, 10:00~12:00",,20210301~20210331,20210514~20211008
"볼링",,광주,북구,(기금)2021 지적장애인볼링교실(북구장애인체육회-조미경),지적장애,매주  화  15:30~17:30,,20210106~20211228,20210406~20210928
"볼링",,충남,,함께하는 시각장애인볼링교실,시각장애,월/목,,20210301~20211130,20210301~20211130
"볼링",,충북,제천시,2021 제천시각장애인볼링교실,시각장애,매주 금 14:00 ~ 15:00,,20210126~20210215,20210301~20211030
"볼링",,충남,태안군,시각장애인 생활체육 볼링교실,시각장애,매주 목 14:30~16:00,,20210301~20211130,20210301~20211130
"볼링",,충북,옥천군,2021 생생일터 볼링교실,지적장애,"월,화 10:00~12:00",,20210126~20210215,20210301~20210930
"볼링",,광주,광산구,(기금)2021 청각장애인 볼링교실(볼링협회),청각장애,매주 금 18:30~20:00,,20210327~20210401,20210402~20210924
"볼링",,전남,광양시,2021 전남 광양시 장애인생활체육 볼링교실,지적장애,13:00~15:00,2021 전남 광양시 장애인생활체육 볼링교실,20210405~20211101,20210405~20211101
"볼링",,충남,태안군,장애청소년 생활체육 볼링교실,지적장애,매주 토 10:00~11:30,,20210301~20211130,20210301~20211130
"볼링",,충남,태안군,2021년 장애청소년 생활체육 볼링교실,지적장애,매주 토요일 10:30~11:30,장애청소년 생활체육 활성화를 위한 볼링교실 운영,20210301~20210930,20210301~20210930
"볼링",,울산,남구,2021울산광역시여성장애인볼링교실,뇌병변장애,목요일 13:00~15:00,교실운영단체 : 울산광역시장애인볼링협회,20210101~20211030,20210401~20211030
"볼링",,울산,울주군,2021년 울산지적장애인생활체육 “볼링교실”,지적장애,토요일 13:30~14:30,운영단체 : 아하브마을,20210101~20211023,20210508~20211023
"볼링",,울산,남구,2021울산광역시시각장애인볼링교실,시각장애,목요일 15:00~17:00,교실운영단체 : 울산광역시장애인볼링협회,20210101~20211030,20210401~20211030
"볼링",,강원,춘천시,강원도 춘천시 지적발달장애인 볼링교실,지체장애,화 17:00 ~ 18:00,,20210201~20211231,20210401~20211031
"볼링",,전남,순천시,2021 전남 순천시 장애인생활체육 볼링교실,기타장애,10:30~11:30,2021 전남 순천시 장애인생활체육 볼링교실,20210301~20210330,20210401~20211021
"볼링",,충남,태안군,2021년 시각장애인 볼링교실,시각장애,매주 목요일 14:30~16:00,,20210307~20211031,20210301~20211031
"볼링",,충북,청주시,2021 장애인생활체육 시각장애인 볼링교실,시각장애,"수,토 13:00~14:00",,20210215~20210310,20210401~20211031
"볼링",,충남,예산군,장애청소년 생활체육 볼링교실,지적장애,매주 금 15:30~16:30,,20210301~20211130,20210301~20211130
"볼링",,울산,남구,2021울산광역시청각장애인볼링교실,청각장애,일요일 14:30~16:00,교실운영단체 : 울산광역시장애인볼링협회,20210101~20211030,20210401~20211030
"볼링",,경기,성남시,(대장체)성남시 탑핀시각볼링 클럽,시각장애,수 15:00~17:00,,20210401~20210730,20210501~20211130
"볼링",,경북,포항시북구,2021년 포항시각장애볼링동호회(동호회-포항시각장애인볼링동호회),시각장애,"화, 10:00~12:00",,20210301~20210331,20210406~20210928
"볼링",,경북,영주시,2021 소백산농인볼링클럽(동호회-소백산농인볼링클럽),청각장애,"화, 14:00~16:00",,20210301~20210331,20210406~20211116
"볼링",,광주,북구,우당탕볼링교실 조미경지도자,지적장애,매주 화 15:30~17:30,,20210105~20211228,20210223~20211228
"볼링",,경기,가평군,(대장체)가평군 볼링교실,지적장애,토 10:30~12:00,,20210401~20210730,20210501~20211130
"볼링",,경기,성남시,(대장체)성남시 유니온 볼링 클럽,청각장애,금 19:00~20:00,,20210401~20210730,20210501~20211130
"볼링",,서울,노원구,2021 노원구 지적장애청소년 볼링교실(장애인부모연대 노원지회),지적장애,매주 월 18:00~19:00,,20210201~20210430,20210401~20210930
"볼링",,경북,안동시,2021년 ZEUS B.C 볼링동호회(동호회-제우스BC),청각장애,"수금, 19:00~21:30",,20210301~20210331,20210409~20210929
"볼링",,경기,군포시,(대장체)군포시 볼링(청소년) 클럽,지적장애,목 17:00~18:00,,20210401~20210730,20210501~20211130
"볼링",,경기,군포시,(대장체)군포시 볼링(성인) 클럽,지적장애,목 15:30~16:30,,20210401~20210730,20210501~20211130
"볼링",,광주,남구,(기금)2021 지체장애인 볼링교실(볼링협회),지체장애,매주 화요일 19:00~20:30,,20210329~20210405,20210406~20211005
"볼링",,경남,창원시마산합포구,마산시각장애인 볼링생활체육교실,시각장애,목 13:00~14:30,,20210101~20211231,20210101~20211231
"볼링",,경기,가평군,(대장체)가평군 볼링교실,시각장애,목 14:00~16:00,,20210401~20210730,20210501~20211130
"볼링",,경기,군포시,(군포시)펀펀볼링교실,지적장애,수 13:00~15:00,,20210301~20210331,20210401~20211031
"볼링",,경북,칠곡군,2021년 경북장애인생활체육 동호회지원 프렌즈 B.C(동호회-프렌즈BC),청각장애,"토, 19:00~21:00",,20210301~20210331,20210403~20210925
"볼링",,충남,당진시,맞춤형 장애청소년 볼링교실,지적장애,매주 금 10:30~12:30,,20210301~20211130,20210301~20211130
"볼링",,경남,창원시의창구,경남장애인생활체육볼링교실,지적장애,"수,금15:00~17:00",,20210101~20211231,20210101~20211231
"볼링",,충북,청주시,2021 아라한볼링교실,기타장애,매주 토 13:00~15:00,,20210215~20210310,20210401~20210930
"볼링",,경남,창원시마산합포구,마산장애인복지관 성인장애인볼링교실,지적장애,금 14:00 ~ 15:00,,20210101~20211231,20210101~20211231
"볼링",,강원,철원군,강원도 철원군 시각장애인 볼링교실,시각장애,월 14:00 ~ 16:00,,20210201~20211231,20210419~20211011
"볼링",,충남,홍성군,시각장애 생활체육 볼링교실,시각장애,매주 목 14:00~16:00,,20210301~20211130,20210301~20211130
"볼링",,강원,인제군,강원도 인제군 지적장애인 볼링교실,지적장애,"목, 금13:00~15:30",,20210201~20211231,20210401~20211126
"볼링",,경북,상주시,햇살고운뜨락 볼링교실(유형별-상주중증장애인자립지원센터),지적장애,"금, 10:00~12:00",,20210301~20210331,20210507~20211031
"볼링",,대전,서구,2021 대전장애인볼링생활체육교실,지체장애,"매주 화,금 오전10시",,20210202~20210530,20210316~20210817
"볼링",,대전,서구,2021 지적장애 생활체육교실(월평발달장애인주간보호센터),지적장애,월 16:00~17:00,,20210405~20211025,20210405~20211025
"볼링",,서울,광진구,2021 광진구 발달장애인볼링교실(광진발달장애인평생교육센터),지적장애,매주 월 13:30-15:30,,20210201~20210331,20210401~20210930
"볼링",,강원,양양군,강원도 양양군 시각장애인 볼링교실,시각장애,"화,목 14:00 ~ 17:00",,20210201~20211231,20210401~20211028
"볼링",,경남,양산시,경남장애인 꿈이룸 볼링교실,지적장애,토 10:00~12:00,,20210101~20211230,20210101~20211230
"볼링",,강원,동해시,강원도 동해시 성인지적장애인을 위한 볼링교실-동해야,지적장애,목 13:00 ~ 15:00,,20210201~20211231,20210401~20211030
"볼링",,대구,달성군,2021년 달성군장애인볼링교실,지체장애,매주 수 18:00~19:00,"클럽, 교실 명확하게 기재",20210301~20210430,00000000~00000000
"사격",,광주,광산구,(시비) 2021 지체장애인 사격교실(사격연맹),지체장애,"매주 월,화 10:00~12:00",,20210101~20210404,20210405~20210913
"사격",,충북,청주시,2021 청주장애인생활체육사격교실,지체장애,매주 일 14:00~16:00,,20210215~20210310,20210401~20210930
"수영",,울산,중구,2021 방과 후 지적 수영교실,지적장애,금요일 17:00~17:50,교실운영단체 : 울산광역시제2장애인체육관,20210101~20211030,20210402~20211030
"수영",,경기,성남시,(대장체)성남시 수중운동교실,지적장애,월~금 16:00~17:00,,20210401~20210730,20210501~20211130
"수영",,광주,서구,수영교실개인(청각)-심광선지도자,청각장애,매주 수 13:00~15:00,,20210101~20210131,20210107~20211222
"수영",,광주,서구,수영교실개인(발달A)-심광선지도자,지적장애,"매주 월,수,금15:00~17:00",,20210101~20210131,20210222~20211224
"수영",,전남,진도군,2021년 전남 진도군 장애인생활체육 수영교실,지적장애,14:00~15:00,2021년 전남 진도군 장애인생활체육 수영교실(진도군장애인종합복지관),20210414~20211117,20210414~20211117
"수영",,강원,횡성군,강원도 횡성군 장애인 수영교실,지적장애,화 13:00 ~ 15:00,,20210201~20211231,20210406~20211026
"수영",,강원,홍천군,강원도 홍천군 장애인 수중운동교실,시각장애,수 11:00 ~ 12:00,,20210201~20211231,20210414~20211124
"수영",,광주,서구,중급수영교실1-홍한별,지적장애,"매주 원,수,금 14:40~15:40",,20210104~20210314,20210315~20211227
"수영",,광주,서구,중급수영교실2-홍한별,지적장애,"매주 월,수,금 15:40~16:40",,20210104~20210314,20210315~20211227
"수영",,강원,춘천시,춘천시장애인체육회 수중운동(수영)교실,지체장애,목 14:00 ~ 16:00,,20210201~20211231,20210415~20211104
"수영",,광주,서구,유아수영교실1-홍한별,지적장애,매주 화 15:30~16:30,,20210104~20210315,20210316~20211227
"수영",,충북,증평군,2021 장애인생활체육 수영교실,지적장애,토 10:00~11:00,,20210126~20210215,20210401~20210930
